Time,Open,High,Low,Close,Volume
2021-08-16 22:45:00,0.32351,0.32548,0.32239,0.32365,25027399.0
2021-08-16 23:00:00,0.32365,0.32457,0.3205,0.32134,22989135.7
2021-08-16 23:15:00,0.32128,0.32158,0.31628,0.31805,40372825.3
2021-08-16 23:30:00,0.31811,0.32247,0.31811,0.32158,24725166.5
2021-08-16 23:45:00,0.32171,0.32221,0.31774,0.31956,25585589.5
2021-08-17 00:00:00,0.31946,0.32214,0.31665,0.31857,48201322.0
2021-08-17 00:15:00,0.31854,0.3196,0.30562,0.31193,110971933.2
2021-08-17 00:30:00,0.31192,0.3143,0.3097,0.31156,50015627.6
2021-08-17 00:45:00,0.31157,0.31628,0.31075,0.31515,35759958.3
2021-08-17 01:00:00,0.31512,0.31848,0.31459,0.31752,28392396.3
2021-08-17 01:15:00,0.31756,0.32456,0.31717,0.32373,40430764.2
2021-08-17 01:30:00,0.32363,0.32533,0.32165,0.32389,35548521.8
2021-08-17 01:45:00,0.32386,0.32858,0.32341,0.32837,34895810.0
2021-08-17 02:00:00,0.32849,0.33158,0.32588,0.33049,44189860.9
2021-08-17 02:15:00,0.33038,0.3304,0.3255,0.32612,30948542.2
2021-08-17 02:30:00,0.32609,0.32981,0.3255,0.32903,24590879.7
2021-08-17 02:45:00,0.329,0.32978,0.32721,0.32814,25150474.1
2021-08-17 03:00:00,0.32818,0.32849,0.32552,0.32628,17534005.4
2021-08-17 03:15:00,0.3263,0.32987,0.32625,0.32852,29214616.7
2021-08-17 03:30:00,0.32852,0.32999,0.32546,0.32669,34348598.7
2021-08-17 03:45:00,0.32667,0.32823,0.32564,0.3281,14444649.9
2021-08-17 04:00:00,0.32814,0.33797,0.32703,0.33634,84431240.3
2021-08-17 04:15:00,0.33635,0.34018,0.33436,0.33654,114799116.3
2021-08-17 04:30:00,0.33654,0.33886,0.33565,0.33652,36402720.9
2021-08-17 04:45:00,0.33652,0.34021,0.33633,0.33636,40106419.8
2021-08-17 05:00:00,0.33636,0.33757,0.33144,0.33167,39071476.5
